,TS,ital,költség
0,2020-12-30 15:15:53,Sweet Sangria,4.0
1,2020-12-31 18:02:26,Grim Reaper,4.0
2,2020-12-30 00:01:27,Kool-Aid Slammer,3.0
3,2020-12-26 21:58:30,Margarita,7.5
4,2020-12-27 20:51:36,Margarita,7.5
5,2020-12-27 23:21:08,Valencia Cocktail,5.5
6,2020-12-30 08:01:53,Orgasm,5.15
7,2020-12-25 22:16:01,Casino Royale,11.0
8,2020-12-26 19:15:52,Sidecar,11.0
9,2020-12-27 12:46:56,Zimadori Zinger,12.0
10,2020-12-26 21:40:16,Shark Attack,6.5
11,2020-12-30 05:34:43,Daiquiri,11.0
12,2020-12-28 20:53:21,Veteran,8.0
13,2020-12-26 13:42:44,Munich Mule,12.0
14,2020-12-29 03:04:55,City Slicker,4.0
15,2020-12-31 19:52:53,Mint Julep,8.0
16,2020-12-28 01:19:23,Fruit Cooler,8.0
17,2020-12-25 18:13:43,Lassi - Sweet,8.0
18,2020-12-26 07:56:46,Clover Club,4.99
19,2020-12-30 18:12:57,Victory Collins,7.5
20,2020-12-28 03:43:58,Kurant Tea,3.0
21,2020-12-30 19:31:07,Bubble Gum,3.0
22,2020-12-30 19:01:47,Egg Nog - Healthy,11.0
23,2020-12-29 18:49:17,Imperial Cocktail,4.99
24,2020-12-26 18:02:07,Kool-Aid Slammer,3.0
25,2020-12-30 16:57:39,Long Island Iced Tea,3.0
26,2020-12-31 22:50:00,Frisco Sour,4.0
27,2020-12-25 17:52:17,Dry Rob Roy,5.5
28,2020-12-27 07:00:40,Gin Fizz,2.99
29,2020-12-28 06:23:14,John Collins,6.5
30,2020-12-31 15:48:00,Grizzly Bear,12.0
31,2020-12-30 00:25:25,Sweet Sangria,4.0
32,2020-12-29 02:25:43,Vampiro,11.0
33,2020-12-31 20:05:39,Lemon Drop,2.99
34,2020-12-27 19:28:23,Margarita,7.5
35,2020-12-26 21:40:51,Nuked Hot Chocolate,12.0
36,2020-12-26 18:27:38,Imperial Cocktail,4.99
37,2020-12-27 22:56:05,Thai Coffee,5.5
38,2020-12-28 22:56:51,Long Island Tea,8.0
39,2020-12-30 00:34:39,Hawaiian Cocktail,6.5
40,2020-12-29 23:24:59,Sweet Tooth,2.99
41,2020-12-26 09:44:00,Hawaiian Cocktail,6.5
42,2020-12-28 14:35:44,Winter Rita,5.5
43,2020-12-28 01:09:06,Old Fashioned,5.5
44,2020-12-26 21:12:45,Kool First Aid,5.0
45,2020-12-31 18:56:16,Irish Coffee,7.5
46,2020-12-28 20:09:34,Rusty Nail,4.0
47,2020-12-26 07:03:09,Long Island Tea,8.0
48,2020-12-29 19:43:33,Hawaiian Cocktail,6.5
49,2020-12-26 14:07:33,Manhattan,4.2
50,2020-12-31 14:27:24,Casino,6.5
51,2020-12-28 21:40:43,Hemingway Special,3.5
52,2020-12-28 01:24:32,Bob Marley,4.0
53,2020-12-26 17:26:27,Adam,3.5
54,2020-12-27 08:31:25,Godfather,6.5
55,2020-12-30 06:07:02,Queen Charlotte,8.0
56,2020-12-31 14:16:39,Porto flip,4.99
57,2020-12-31 13:20:21,Cosmopolitan,2.99
58,2020-12-26 09:10:58,Vesuvio,3.0
59,2020-12-29 06:36:50,Creme de Menthe,3.5
60,2020-12-25 16:52:54,Pysch Vitamin Light,6.5
61,2020-12-26 20:08:23,Cosmopolitan,2.99
62,2020-12-27 15:20:53,Zippy's Revenge,5.0
63,2020-12-26 00:08:57,Radioactive Long Island Iced Tea,7.5
64,2020-12-27 19:58:57,Kiwi Papaya Smoothie,5.15
65,2020-12-29 13:04:31,Jewel Of The Nile,6.5
66,2020-12-27 11:31:33,Negroni,2.99
67,2020-12-26 17:25:35,Frosé,2.99
68,2020-12-30 23:21:56,Munich Mule,12.0
69,2020-12-26 08:54:24,Zimadori Zinger,12.0
70,2020-12-26 08:51:05,Cosmopolitan,2.99
71,2020-12-29 04:15:04,Veteran,8.0
72,2020-12-27 02:46:15,Lassi Raita,6.5
73,2020-12-31 15:33:29,Margarita,7.5
74,2020-12-28 09:24:07,Zippy's Revenge,5.0
75,2020-12-29 06:12:04,Boxcar,5.15
76,2020-12-25 21:43:41,Hawaiian Cocktail,6.5
77,2020-12-30 11:05:13,Coffee Liqueur,5.5
78,2020-12-27 01:30:50,Royal Gin Fizz,7.5
79,2020-12-29 08:11:17,Owen's Grandmother's Revenge,8.0
80,2020-12-29 06:29:02,Bob Marley,4.0
81,2020-12-28 16:34:59,Vesuvio,3.0
82,2020-12-28 13:17:23,Nuked Hot Chocolate,12.0
83,2020-12-29 23:58:32,City Slicker,4.0
84,2020-12-30 15:53:36,Vodka And Tonic,11.0
85,2020-12-26 08:38:16,Bellini,2.99
86,2020-12-31 12:51:38,English Highball,7.5
87,2020-12-28 10:55:46,Long Island Tea,8.0
88,2020-12-30 23:45:52,Jelly Bean,3.0
89,2020-12-28 15:14:01,Mocha-Berry,8.0
90,2020-12-30 21:10:25,Gimlet,4.2
91,2020-12-27 00:52:24,Hawaiian Cocktail,6.5
92,2020-12-26 14:48:15,Chocolate Milk,5.15
93,2020-12-26 11:17:25,Bijou,4.0
94,2020-12-28 17:59:52,Margarita,7.5
95,2020-12-31 02:50:49,Lemon Drop,2.99
96,2020-12-31 13:04:03,Flaming Lamborghini,3.0
97,2020-12-31 04:42:00,Bellini,2.99
98,2020-12-31 23:29:15,Casino,6.5
99,2020-12-29 23:32:04,Funk and Soul,5.15
100,2020-12-29 02:39:04,Negroni,2.99
101,2020-12-31 22:19:02,Long Island Iced Tea,3.0
102,2020-12-30 15:26:55,Gin Fizz,2.99
103,2020-12-31 14:20:59,Tuxedo Cocktail,12.0
104,2020-12-27 05:23:49,Hawaiian Cocktail,6.5
105,2020-12-29 10:40:06,Munich Mule,12.0
106,2020-12-27 14:38:29,Whitecap Margarita,4.99
107,2020-12-26 00:12:50,Paradise,4.2
108,2020-12-26 20:12:50,Casino,6.5
109,2020-12-30 02:27:25,Boxcar,5.15
110,2020-12-26 19:59:56,Owen's Grandmother's Revenge,8.0
111,2020-12-30 06:24:00,Sweet Sangria,4.0
112,2020-12-29 18:40:30,Barracuda,4.2
113,2020-12-26 15:44:50,Mai Tai,11.0
114,2020-12-27 05:41:47,Cuba Libre,4.2
115,2020-12-28 16:16:02,Affinity,2.99
116,2020-12-29 09:01:29,Affair,8.0
117,2020-12-27 09:29:52,Lord And Lady,8.0
118,2020-12-30 01:48:21,Lassi - Sweet,8.0
119,2020-12-26 21:59:11,Imperial Cocktail,4.99
120,2020-12-31 16:32:32,Margarita,7.5
121,2020-12-31 06:46:36,Oatmeal Cookie,4.99
122,2020-12-31 01:28:50,Port Wine Flip,5.0
123,2020-12-30 10:52:55,Dry Rob Roy,5.5
124,2020-12-29 04:19:37,Imperial Cocktail,4.99
125,2020-12-28 05:10:00,Snowball,11.0
126,2020-12-30 13:28:50,Turf Cocktail,12.0
127,2020-12-30 04:16:19,Winter Rita,5.5
128,2020-12-30 18:09:51,Rum Milk Punch,12.0
129,2020-12-26 17:23:11,Winter Rita,5.5
130,2020-12-25 16:16:51,Kill the cold Smoothie,11.0
131,2020-12-30 17:15:23,Mocha-Berry,8.0
132,2020-12-26 00:42:06,Scooter,12.0
133,2020-12-28 12:36:33,Chocolate Milk,5.15
134,2020-12-28 17:02:39,Royal Gin Fizz,7.5
135,2020-12-29 21:23:30,Margarita,7.5
136,2020-12-31 21:44:41,Dirty Nipple,3.5
137,2020-12-28 16:11:01,Zizi Coin-coin,5.0
138,2020-12-26 21:27:17,Kool First Aid,5.0
139,2020-12-29 06:26:35,Vodka Martini,4.2
140,2020-12-29 11:30:58,Long Island Tea,8.0
141,2020-12-29 23:10:50,Jitterbug,4.0
142,2020-12-28 07:00:42,Creme de Menthe,3.5
143,2020-12-28 10:48:16,Halloween Punch,8.0
144,2020-12-30 07:16:59,Hawaiian Cocktail,6.5
145,2020-12-26 21:29:23,Chocolate Milk,5.15
146,2020-12-31 06:34:18,Tequila Sour,5.15
147,2020-12-29 12:38:19,Hunter's Moon,3.0
148,2020-12-26 05:31:21,Long Island Tea,8.0
149,2020-12-26 10:35:25,Frosé,2.99
150,2020-12-29 13:07:00,Cosmopolitan,2.99
151,2020-12-27 16:48:02,Kiwi Papaya Smoothie,5.15
152,2020-12-27 10:22:31,Zorbatini,4.2
153,2020-12-30 05:17:12,The Philosopher,5.15
154,2020-12-31 07:34:37,Hawaiian Cocktail,6.5
155,2020-12-28 13:01:06,Zimadori Zinger,12.0
156,2020-12-31 15:36:27,The Laverstoke,7.5
157,2020-12-31 17:43:30,Artillery,3.5
158,2020-12-28 09:27:11,Hawaiian Cocktail,6.5
159,2020-12-27 17:04:03,Horse's Neck,7.5
160,2020-12-25 17:23:05,Owen's Grandmother's Revenge,8.0
161,2020-12-27 17:55:42,Lord And Lady,8.0
162,2020-12-25 19:09:44,Bob Marley,4.0
163,2020-12-25 19:18:24,Vesuvio,3.0
164,2020-12-29 09:39:49,Winter Rita,5.5
165,2020-12-30 12:11:05,Rum Cooler,4.99
166,2020-12-28 16:30:28,Chocolate Milk,5.15
167,2020-12-28 11:00:28,Danbooka,4.99
168,2020-12-31 12:46:41,Figgy Thyme,3.0
169,2020-12-27 11:40:34,Shot-gun,7.5
170,2020-12-26 23:37:21,Long Island Iced Tea,3.0
171,2020-12-28 21:26:20,Gin Rickey,4.0
172,2020-12-27 21:38:24,Imperial Cocktail,4.99
173,2020-12-30 20:36:36,Gin Tonic,6.5
174,2020-12-26 07:09:00,Margarita,7.5
175,2020-12-26 07:43:18,Frisco Sour,4.0
176,2020-12-31 17:54:05,Rusty Nail,4.0
177,2020-12-30 12:56:23,Bloody Mary,5.5
178,2020-12-28 00:49:51,Victory Collins,7.5
179,2020-12-28 19:24:36,Sidecar,11.0
180,2020-12-26 03:10:17,Shot-gun,7.5
181,2020-12-26 15:29:09,Cuba Libre,4.2
182,2020-12-29 05:41:17,Egg Cream,4.99
183,2020-12-26 17:07:01,Long Island Tea,8.0
184,2020-12-29 18:28:23,GG,12.0
185,2020-12-31 08:47:58,Vesuvio,3.0
186,2020-12-30 05:36:11,Big Red,8.0
187,2020-12-26 18:36:13,Tom Collins,5.5
188,2020-12-28 09:28:29,Imperial Cocktail,4.99
189,2020-12-29 16:58:50,Big Red,8.0
190,2020-12-26 18:46:37,Shot-gun,7.5
191,2020-12-29 10:11:51,Ipamena,2.99
192,2020-12-31 22:57:16,Paradise,4.2
193,2020-12-29 01:45:19,After sex,7.5
194,2020-12-30 22:34:21,Zippy's Revenge,5.0
195,2020-12-28 23:34:41,The Laverstoke,7.5
196,2020-12-26 14:25:08,Bible Belt,5.15
197,2020-12-27 13:52:13,White Lady,6.5
