,time,drink,amount
0,12-26-2020 22:47,Paradise,4.2
1,12-26-2020 08:34,Dry Martini,8.0
2,12-31-2020 18:41,Kill the cold Smoothie,11.0
3,12-29-2020 15:38,Cuba Libra,2.99
4,12-26-2020 07:09,Campari Beer,7.5
5,12-26-2020 20:06,Sweet Sangria,4.0
6,12-31-2020 09:14,Snowball,11.0
7,12-26-2020 12:37,Egg Nog - Healthy,11.0
8,12-29-2020 02:56,Winter Rita,5.5
9,12-26-2020 22:31,Sweet Sangria,4.0
10,12-26-2020 23:34,Cuba Libra,2.99
11,12-25-2020 17:50,Thai Coffee,5.5
12,12-28-2020 11:45,Paradise,4.2
13,12-28-2020 06:30,Whitecap Margarita,4.99
14,12-26-2020 07:20,Dark Caipirinha,2.99
15,12-26-2020 19:42,Chicago Fizz,5.5
16,12-30-2020 14:02,Cosmopolitan,2.99
17,12-26-2020 23:24,Sangria,3.5
18,12-27-2020 21:12,Jitterbug,4.0
19,12-29-2020 19:32,Dry Martini,8.0
20,12-26-2020 11:22,Orgasm,5.15
21,12-31-2020 17:29,Iced Coffee Fillip,5.0
22,12-31-2020 12:55,A. J.,11.0
23,12-28-2020 00:31,Chicago Fizz,5.5
24,12-30-2020 01:40,Figgy Thyme,3.0
25,12-30-2020 09:39,Iced Coffee Fillip,5.0
26,12-29-2020 05:25,Chicago Fizz,5.5
27,12-25-2020 18:35,Long Island Iced Tea,3.0
28,12-28-2020 23:54,Quick-sand,4.0
29,12-29-2020 01:27,Bubble Gum,3.0
30,12-31-2020 06:48,Lone Tree Cooler,5.5
31,12-28-2020 06:34,Port Wine Flip,5.0
32,12-28-2020 09:36,Lassi - Sweet,8.0
33,12-31-2020 12:34,Cuba Libra,2.99
34,12-29-2020 13:44,H.D.,7.5
35,12-26-2020 18:37,Melya,8.0
36,12-26-2020 04:29,Van Vleet,4.2
37,12-30-2020 13:12,Monkey Gland,11.0
38,12-29-2020 17:54,Sweet Tooth,2.99
39,12-28-2020 22:44,Bijou,4.0
40,12-29-2020 12:44,Jitterbug,4.0
41,12-28-2020 23:43,Pure Passion,2.99
42,12-31-2020 08:11,Van Vleet,4.2
43,12-28-2020 01:47,Mai Tai,11.0
44,12-26-2020 00:25,Zippy's Revenge,5.0
45,12-25-2020 16:42,Jitterbug,4.0
46,12-28-2020 05:19,Lone Tree Cooler,5.5
47,12-30-2020 05:34,Clover Club,4.99
48,12-29-2020 02:16,After sex,7.5
49,12-30-2020 08:11,Yoghurt Cooler,3.5
50,12-29-2020 20:24,Lemon Drop,2.99
51,12-26-2020 10:53,Sweet Tooth,2.99
52,12-29-2020 15:42,Vampiro,11.0
53,12-29-2020 02:32,The Philosopher,5.15
54,12-27-2020 13:56,Jackhammer,3.5
55,12-25-2020 21:53,Monkey Gland,11.0
56,12-31-2020 07:38,Dry Martini,8.0
57,12-31-2020 08:55,Queen Charlotte,8.0
58,12-31-2020 10:44,Clover Club,4.99
59,12-26-2020 18:35,Dry Martini,8.0
